X,R
0.00E+00,-2.26E-01
1.00E-01,-1.74E-01
2.00E-01,4.59E-01
3.00E-01,6.38E-01
4.00E-01,8.69E-01
5.00E-01,6.65E-01
6.00E-01,7.45E-01
7.00E-01,1.25E+00
8.00E-01,9.29E-01
9.00E-01,9.46E-01
1.00E+00,1.01E+00
1.10E+00,9.28E-01
1.20E+00,5.86E-01
1.30E+00,7.04E-01
1.40E+00,-3.83E-02
1.50E+00,-1.56E-01
1.60E+00,-3.39E-01
1.70E+00,-5.42E-02
1.80E+00,-6.28E-01
1.90E+00,-9.85E-01
2.00E+00,-5.95E-01
2.10E+00,-6.98E-01
2.20E+00,-1.17E+00
2.30E+00,-1.18E+00
2.40E+00,-9.82E-01
2.50E+00,-1.14E+00
2.60E+00,-6.05E-01
2.70E+00,-8.50E-01
2.80E+00,-4.04E-01
2.90E+00,8.64E-02
3.00E+00,-4.64E-01
3.10E+00,1.42E-01
